qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1_formatted,q1_milliseconds,q2_formatted,q2_milliseconds,q3_formatted,q3_milliseconds
1,18,1,1,22,1,01:26.6,01:25.2,01:26.7,01:26.572,86572,01:25.187,85187,01:26.714,86714
2,18,9,2,4,2,01:26.1,01:25.3,01:26.9,01:26.103,86103,01:25.315,85315,01:26.869,86869
3,18,5,1,23,3,01:25.7,01:25.5,01:27.1,01:25.664,85664,01:25.452,85452,01:27.079,87079
4,18,13,6,2,4,01:26.0,01:25.7,01:27.2,01:25.994,85994,01:25.691,85691,01:27.178,87178
5,18,2,2,3,5,01:26.0,01:25.5,01:27.2,01:25.960,85960,01:25.518,85518,01:27.236,87236
6,18,15,7,11,6,01:26.4,01:26.1,01:28.5,01:26.427,86427,01:26.101,86101,01:28.527,88527
7,18,3,3,7,7,01:26.3,01:26.1,01:28.7,01:26.295,86295,01:26.059,86059,01:28.687,88687
8,18,14,9,9,8,01:26.4,01:26.1,01:29.0,01:26.381,86381,01:26.063,86063,01:29.041,89041
9,18,10,7,12,9,01:26.9,01:26.2,01:29.6,01:26.919,86919,01:26.164,86164,01:29.593,89593
10,18,20,5,15,10,01:26.7,01:25.8,\N,01:26.702,86702,01:25.842,85842,,
11,18,22,11,17,11,01:26.4,01:26.2,\N,01:26.369,86369,01:26.173,86173,,
12,18,4,4,5,12,01:26.9,01:26.2,\N,01:26.907,86907,01:26.188,86188,,
13,18,18,11,16,13,01:26.7,01:26.3,\N,01:26.712,86712,01:26.259,86259,,
14,18,6,3,8,14,01:26.9,01:26.4,\N,01:26.891,86891,01:26.413,86413,,
15,18,17,9,10,15,01:26.9,\N,\N,01:26.914,86914,,,,
16,18,8,6,1,16,01:26.1,\N,\N,01:26.140,86140,,,,
17,18,21,10,21,17,01:27.2,\N,\N,01:27.207,87207,,,,
18,18,7,5,14,18,01:27.4,\N,\N,01:27.446,87446,,,,
19,18,16,10,20,19,01:27.9,\N,\N,01:27.859,87859,,,,
20,18,11,8,18,20,01:28.2,\N,\N,01:28.208,88208,,,,
21,18,12,4,6,21,01:28.3,\N,\N,01:28.330,88330,,,,
22,18,19,8,19,22,01:29.1,\N,\N,01:29.059,89059,,,,
23,19,13,6,2,1,01:35.3,01:34.4,01:35.7,01:35.347,95347,01:34.412,94412,01:35.748,95748
24,19,8,6,1,2,01:35.6,01:34.2,01:36.2,01:35.645,95645,01:34.188,94188,01:36.230,96230
25,19,5,1,23,3,01:35.2,01:34.8,01:36.6,01:35.227,95227,01:34.759,94759,01:36.613,96613
26,19,1,1,22,4,01:35.4,01:34.6,01:36.7,01:35.392,95392,01:34.627,94627,01:36.709,96709
27,19,15,7,11,5,01:35.2,01:35.0,01:36.7,01:35.205,95205,01:34.960,94960,01:36.711,96711
28,19,9,2,4,6,01:35.8,01:34.8,01:36.7,01:35.794,95794,01:34.811,94811,01:36.727,96727
29,19,2,2,3,7,01:35.7,01:34.6,01:36.8,01:35.729,95729,01:34.648,94648,01:36.753,96753
30,19,17,9,10,8,01:35.4,01:35.0,01:37.0,01:35.440,95440,01:34.967,94967,01:37.009,97009
31,19,4,4,5,9,01:36.0,01:35.1,01:38.5,01:35.983,95983,01:35.140,95140,01:38.450,98450
32,19,10,7,12,10,01:35.9,01:35.0,01:39.7,01:35.891,95891,01:35.000,95000,01:39.656,99656
33,19,18,11,16,11,01:35.8,01:35.2,\N,01:35.847,95847,01:35.208,95208,,
34,19,14,9,9,12,01:36.1,01:35.4,\N,01:36.058,96058,01:35.408,95408,,
35,19,12,4,6,13,01:36.1,01:35.6,\N,01:36.074,96074,01:35.562,95562,,
36,19,22,11,17,14,01:36.2,01:35.6,\N,01:36.198,96198,01:35.622,95622,,
37,19,20,5,15,15,01:36.1,01:35.6,\N,01:36.111,96111,01:35.648,95648,,
38,19,3,3,7,16,01:35.8,01:35.7,\N,01:35.843,95843,01:35.670,95670,,
39,19,21,10,21,17,01:36.2,\N,\N,01:36.240,96240,,,,
40,19,6,3,8,18,01:36.4,\N,\N,01:36.388,96388,,,,
41,19,7,5,14,19,01:36.7,\N,\N,01:36.677,96677,,,,
42,19,11,8,18,20,01:37.1,\N,\N,01:37.087,97087,,,,
43,19,16,10,20,21,01:37.1,\N,\N,01:37.101,97101,,,,
44,19,19,8,19,22,01:37.5,\N,\N,01:37.481,97481,,,,
45,20,9,2,4,1,01:32.9,01:31.7,01:33.1,01:32.893,92893,01:31.745,91745,01:33.096,93096
46,20,13,6,2,2,01:31.9,01:31.2,01:33.1,01:31.937,91937,01:31.188,91188,01:33.123,93123
47,20,1,1,22,3,01:32.7,01:31.9,01:33.3,01:32.750,92750,01:31.922,91922,01:33.292,93292
48,20,8,6,1,4,01:32.7,01:31.9,01:33.4,01:32.652,92652,01:31.933,91933,01:33.418,93418
49,20,5,1,23,5,01:33.1,01:31.7,01:33.5,01:33.057,93057,01:31.718,91718,01:33.488,93488
50,20,2,2,3,6,01:33.1,01:31.9,01:33.7,01:33.137,93137,01:31.909,91909,01:33.737,93737
51,20,15,7,11,7,01:32.5,01:32.2,01:34.0,01:32.493,92493,01:32.159,92159,01:33.994,93994
52,20,3,3,7,8,01:32.9,01:32.2,01:34.0,01:32.903,92903,01:32.185,92185,01:34.015,94015
53,20,18,11,16,9,01:32.8,01:32.4,01:35.1,01:32.793,92793,01:32.362,92362,01:35.057,95057
54,20,4,4,5,10,01:32.9,01:32.3,01:35.1,01:32.947,92947,01:32.345,92345,01:35.115,95115
55,20,17,9,10,11,01:33.2,01:32.4,\N,01:33.194,93194,01:32.371,92371,,
56,20,22,11,17,12,01:32.9,01:32.5,\N,01:32.944,92944,01:32.508,92508,,
57,20,10,7,12,13,01:32.8,01:32.5,\N,01:32.800,92800,01:32.528,92528,,
